,clouds.all,coord.lat,coord.lon,dt,main.humidity,main.temp_max,name,sys.country,wind.speed
0,0,-33.21,138.6,1554221225,78,48.38,Jamestown,AU,4.61
1,0,-42.88,147.33,1554221175,62,59.0,Hobart,AU,10.29
2,75,5.28,115.24,1554219000,78,82.4,Victoria,BN,6.93
3,64,-38.31,-60.23,1554221209,51,79.88,Barrow,AR,19.04
4,1,60.79,-161.76,1554216960,92,28.4,Bethel,US,6.93
5,0,14.2,24.66,1554221286,15,89.6,Kutum,SD,3.83
6,20,-20.46,-66.82,1554221286,43,54.77,Uyuni,BO,5.39
7,80,-17.53,-149.33,1554220950,74,82.4,Tiarei,PF,4.7
8,75,11.24,-74.21,1554221064,66,88.0,Santa Marta,CO,6.93
9,20,47.66,-52.73,1554221007,47,37.0,Torbay,CA,34.45
10,0,-8.45,118.73,1554221289,100,73.49,Bima,ID,2.37
11,0,-46.19,168.86,1554220807,88,46.0,Mataura,NZ,3.94
12,100,-31.43,152.91,1554221105,100,60.01,Port Macquarie,AU,4.7
13,1,41.28,-70.1,1554221030,48,46.99,Nantucket,US,19.46
14,0,-33.93,18.42,1554221179,38,75.2,Cape Town,ZA,17.22
15,64,59.7,150.17,1554221291,81,20.66,Arman,RU,3.15
16,80,64.9,45.76,1554221291,74,34.61,Leshukonskoye,RU,8.19
17,88,-28.29,31.43,1554221291,92,61.34,Ulundi,ZA,3.6
18,68,50.68,156.12,1554221292,100,30.74,Severo-Kurilsk,RU,15.23
19,76,71.98,102.47,1554221258,87,20.84,Khatanga,RU,10.42
20,48,-34.42,19.24,1554220876,70,75.0,Hermanus,ZA,10.0
21,0,-46.28,169.85,1554221178,71,50.0,Kaitangata,NZ,5.01
22,68,-14.38,34.33,1554221293,67,73.22,Dedza,MW,7.74
23,40,-53.16,-70.91,1554220955,58,55.4,Punta Arenas,CL,31.09
24,20,35.73,140.83,1554221075,74,35.01,Hasaki,JP,3.36
25,40,-54.81,-68.31,1554217200,43,55.4,Ushuaia,AR,27.51
26,48,62.67,131.17,1554221293,72,17.24,Borogontsy,RU,5.17
27,20,39.45,22.34,1554221000,42,66.2,Saint George,GR,13.87
28,12,69.7,170.27,1554221294,81,21.92,Pevek,RU,16.46
29,80,-23.12,-134.97,1554221223,100,75.56,Rikitea,PF,15.23
30,0,2.67,72.89,1554221294,100,83.57,Kudahuvadhoo,MV,4.5
31,75,-20.41,57.7,1554221040,83,80.6,Mahebourg,MU,6.96
32,88,-8.88,147.74,1554221294,98,65.57,Kokoda,PG,1.48
33,0,11.67,92.75,1554221295,100,84.74,Port Blair,IN,4.16
34,44,5.4,125.46,1554221295,100,79.52,Sarangani,PH,5.95
35,68,73.51,80.55,1554221295,99,23.72,Dikson,RU,25.75
36,12,25.6,100.24,1554221296,85,50.27,Dali,CN,2.26
37,0,47.59,7.56,1554221267,24,69.01,Saint-Louis,CH,16.11
